اسم_الحضانة,رقم_التليفون_الأول,رقم_التليفون_الثاني,البريد_الإلكتروني,الوصف,الرسوم,المحافظة,المدينة,المنطقة,صورة_الحضانة,الموقع_GPS,العنوان,رابط_الصفحة,الدوام,النوع
حضانة هدية الله النموذجية,79509447,,hasan765@gmail.com,منهج المنتسوري، لغتين (عربي وإنجليزي)، العمر من 70 يومًا إلى 5 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,ضاحية الأقصى,,,,مقابل سوبر ماركت غيث، عمارة رقم 110,,,
حضانة كراميل,798250686,,info.caramel.kindergarten@gmail.com,منهج المنتسوري، لغتين (عربي وإنجليزي)، العمر من 3 شهور إلى 5 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 06:00 مساءً,غير متوفرة,عمان,أم السماق,,,,خلف مستشفى الحرمين,,,
Rose garden,798643181,,,منهج المنتسوري، لغتين (عربي وإنجليزي)، العمر من 70 يومًا إلى 4 سنوات و8 أشهر. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:30 مساءً,غير متوفرة,عمان,خلدا,,,,شارع خارحه بن زيد,,,
Sally and Salma Nursery,798474267,sallyarikat@yahoo.com,,منهج المنتسوري / ثنائي اللغة، لغتين (عربي وإنجليزي)، العمر من شهرين إلى 5 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً (السبت - الخميس),غير متوفرة,عمان,الجبيهة,حي بن عوف,,,شارع أكثم بن صيفي,,,
حضانة النقاط الملونة,780283830,colorful.dots.nursery@gmail.com,,منهج وطني، لغتين (عربي وإنجليزي)، العمر من 70 يومًا إلى 4 سنوات و8 أشهر. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 06:00 مساءً (السبت - الخميس),غير متوفرة,عمان,أول شارع مكة,حديقة ضاحية الحسين,,,مقابل الضمان الاجتماعي,,,
Roshan nursery حضانة روشان,798036232,daniakashour3@gmail.com,,منهج المنتسوري - دولي، لغتين (عربي وإنجليزي)، العمر من 70 يومًا إلى 5 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,البنيات,,,,شارع عقيل السرحان,,,
Takween Nursery - حضانة تكوين,797695654,,,منهج المنتسوري، لغتين (عربي وإنجليزي)، العمر من شهرين إلى 5 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,الجبيهة,طلوع الجاذبية,,,,,,
Platinum Academy Kindergarten - الحضانة البلاتينية,797948648,info@plac.cc,,منهج المنتسوري، لغتين (عربي وإنجليزي)، العمر من شهرين إلى 5 سنوات. العطلة الأسبوعية: الجمعة والسبت. الدوام: 07:00 صباحًا - 06:00 مساءً,غير متوفرة,عمان,الصويفية,,,,قرب زيت وزعتر، شارع الدعاء، فيلا رقم 7,,,
حضانة أكاديمية الازدهار,797456069,alzdeharkindergarten55@yahoo.com,,منهج المنتسوري، لغة إنجليزية، العمر من شهر إلى 4 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,طبربور,,,,خلف حلويات النجمة، عمارة رقم 5,,,
حضانة الأطفال السعيدين - Happy kids Nursery,798008456,Lama.16hamdan@hotmail.com,,منهج وطني، لغتين (عربي وإنجليزي)، العمر من شهرين إلى 4 سنوات و8 أشهر. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,مرج الحمام,,,,دوار البرديني، بجانب دنيا المشاوي,,,
حضانة كرة العسل - HoneyBall Nursery,789939313,alkhteebsuad27@gmail.com,,منهج المنتسوري، لغة عربية، العمر من شهر إلى 4 سنوات و8 أشهر. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,جبل الحسين,,,,مقابل مخابز غيث,,,
Baby berry Nursery - حضانة أطفال التوت البري,797593313,,,منهج المنتسوري، لغتين (عربي وإنجليزي)، العمر من 70 يومًا حتى 5 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:30 صباحًا - 05:00 مساءً,غير متوفرة,عمان,شارع مكة,,,,بالقرب من Hive Gym,,,
حضانة فن الرعاية - Art Care Nursery,795828292,info@artcarenursery.com,,منهج المنتسوري، لغتين (عربي وإنجليزي)، العمر من 70 يومًا إلى 4 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:30 صباحًا - 05:00 مساءً,غير متوفرة,عمان,شارع مكة,,,,خلف أوتو مول وأبراج الحجاز، بناية 15,,,
حضانة كيدو - Kidoo Nursery,797676000,Modern2128@yahoo.com,,منهج المنتسوري، لغتين (إنجليزي وعربي)، العمر من سنتين إلى 4 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,طبربور,,,,خلف الجامعة العربية المفتوحة، شارع معاذ بن عمرو، فيلا رقم 33,,,
حضانة القلب الطيب النموذجية,790802162,altyatly2@gmail.com,,منهج المنتسوري / دولي، لغتين (عربي وإنجليزي)، العمر من شهرين إلى 5 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,دوار الكمالية,,,,شارع سهيل بن رافع,,,
حضانة نقطة عسل,790448120,,,منهج المنتسوري، لغتين (عربي وإنجليزي)، العمر من شهر إلى 4 سنوات و8 أشهر. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,الشميساني,حي العبدلي,,,شارع ابن الفارض، بناء رقم 11,,,
Kids R love - أطفالنا هم الحب,798351216,Kidsrlove.jo@gmail.com,,منهج وطني - منتسوري، لغتين (عربي وإنجليزي)، العمر من شهرين إلى 4 سنوات و8 أشهر. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,أم السماق,,,,شارع مكة، بجانب مكتب ارتباط جامعة مؤتة,,,
حضانة راما ولما,798602747,,,لغتين (عربي وإنجليزي)، العمر من شهرين إلى 4 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 06:30 صباحًا - 06:00 مساءً,غير متوفرة,عمان,ضاحية الأمير حسن,,,,دخلة مطعم الهنيني,,,
حضانة تل الورد,772603344,BayanHyassat@yahoo.com,,لغة عربية، العمر من شهرين إلى 4 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,أبو نصير,,,,بجانب صحارى مول,,,
الطفل الظريف,799437223,saj_shalabi@yahoo.com,,لغتين (عربي وإنجليزي)، العمر من 3 شهور إلى 5 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:00 مساءً,غير متوفرة,عمان,الصويلح,الحي الشرقي,,,بالقرب من ديوان شموط,,,
حضانة وروضة ريحانة Rihana International Academy,791000966,0791000955,Raank2018@gmail.com,لغتين (إنجليزي وعربي)، العمر من 70 يومًا إلى 3 سنوات. العطلة الأسبوعية: الجمعة. الدوام: 07:00 صباحًا - 05:30 مساءً,تبدأ من 150 دينار شهريًا,عمان,أم السماق,,,,خلف مكة مول، شارع ذي الحجة، فيلا 32,,,انترناشونال
Jordan Kids Academy Nursery and Preschool,776799988,0776799933,info@jordankidsacademy.com,3 لغات (فرنسية، إنجليزية، عربية)، العمر من 3 أشهر إلى 4 سنوات. العطلة الأسبوعية: الجمعة.,غير متوفرة,عمان,أم السماق,شارع الكروم,,,شارع الكروم، أم السماق، عمان,,07:30 صباحًا - 05:00 مساءً,لغات
حضانة النحلة الطنانة Buzz Bee Nursery,778550550,,hadeel.amarneh@yahoo.com,لغتين (عربي وإنجليزي)، العمر غير متوفر. العطلة الأسبوعية: الجمعة.,غير متوفرة,عمان,أم السماق,شارع إبراهيم دقه، مبنى رقم 10,,,شارع إبراهيم دقه، مبنى رقم 10، أم السماق، عمان,,07:30 صباحًا - 05:00 مساءً,لغات
حضانة قصص الخيال Fairy tales,798880805,,,3 لغات (إنجليزية، فرنسية، عربية)، العمر من 3 شهور إلى 4 سنوات. العطلة الأسبوعية: الجمعة.,غير متوفرة,عمان,أم السماق,خلف مدارس الدر المنثور,,,خلف مدارس الدر المنثور، أم السماق، عمان,,07:00 صباحًا - 06:00 مساءً,منتسوري - لغات
حضانة ميلكي تيث Milkyteeth,799585086,,info@milkyteeth.com,لغتين (عربي وإنجليزي)، العمر من 70 يومًا إلى 5 سنوات. العطلة الأسبوعية: الجمعة.,غير متوفرة,عمان,ضاحية الأمير راشد,خلف شارع عبدالله غوشة، شارع حسن العطار، فيلا رقم 3,,,خلف شارع عبدالله غوشة، شارع حسن العطار، فيلا رقم 3، ضاحية الأمير راشد، عمان,,07:30 صباحًا - 06:00 مساءً,منتسوري
حضانة وروضة ميناريت الأنجليزية English Minaret kindergarten,796778744,,alzuobirula@yahoo.com,لغة إنجليزية، العمر غير متوفر. العطلة الأسبوعية: الجمعة.,غير متوفرة,عمان,أم السماق,خلف سيتي مول,,,خلف سيتي مول، أم السماق، عمان,,07:15 صباحًا - 04:30 مساءً,لغات
حضانه المشاكس الصغير,795581762,,,العمر من شهرين إلى 4 سنوات. العطلة الأسبوعية: الجمعة.,غير متوفرة,عمان,أم أذينة,شارع الكوفة,,,قرب وزارة النقل، خلف مقهى الشماسي، عمارة 71، أم أذينة، عمان,,07:30 صباحًا - 05:30 مساءً,وطني
Kiddy academy,798379019,,,لغة إنجليزية. العطلة الأسبوعية: الجمعة.,غير متوفر,عمان,أم السماق,شارع سلطان العدوان، عمارة 26,,,شارع سلطان العدوان، عمارة 26، أم السماق، عمان,,غير متوفر,لغات
Beauty and Cutie Nursery,791818936,,noor.saleh123@yahoo.com,3 لغات (إنجليزية، فرنسية، عربية)، العمر من 70 يومًا إلى 4 سنوات. العطلة الأسبوعية: الجمعة.,غير متوفرة,عمان,أبو نصير,دوار البحرية، مقابل التدريب المهني,,,دوار البحرية، مقابل التدريب المهني، أبو نصير، عمان,,07:00 صباحًا - 05:00 مساءً,منتسوري - لغات
HUMMINGBIRD day care and preschool,65660100,0776565600,birdhummingdaycare@gmail.com,لغتين (إنجليزية وعربية)، العمر من 70 يومًا إلى 4 سنوات. العطلة الأسبوعية: الجمعة والسبت.,غير متوفرة,عمان,الجاردنز,حي بركة,,,شارع خالد الأموي، فيلا رقم 12، حي بركة، الجاردنز، عمان,,07:00 صباحًا - 05:00 مساءً,لغات - منتسوري
حضانة نادي السندباد,797771913,,salmanmanal@yahoo.com,لغتين (عربية وإنجليزي)، العمر من 40 يومًا إلى 4 سنوات و8 أشهر. العطلة الأسبوعية: الجمعة.,غير متوفرة,عمان,الجاردنز,شارع صالح الخريشا، مقابل مطعم السروات,,,شارع صالح الخريشا، مقابل مطعم السروات، الجاردنز، عمان,,07:00 صباحًا - 04:00 مساءً,منتسوري - لغات
حضانة لارا Lara nursery,796646220,,sabra_l@yahoo.com,3 لغات (عربي وإنجليزي وروسي)، العمر من 70 يومًا. العطلة الأسبوعية: الجمعة.,غير متوفرة,عمان,الجاردنز,حي البركة,,,شارع عبد السلام البرغوثي، بواية رقم 6، حي البركة، الجاردنز، عمان,,06:45 صباحًا - 06:00 مساءً,منتسوري
حضانة نحل العسل Honey Bee Nursery & Preschool,796736649,0796123648,غير متوفر,حضانة نحل العسل,غير متوفر,عمان,عمان,جبل عمان / الدوار الثاني,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgFgQgp-VAU5jJUzwEyoNbh7gasVOdQE1fcwbX6iXZUg6m1U8cZJzdUYrDnVR9HLU1ALbHO89SomPO1-ktoxEM0xUmBu_8gAid97XKPfcUEIWuRGKbyOQ0OxXaQ2tC4ZQzwemvGGNWQq7xJ/s640/23843508_713184278878967_2512132888683154892_n.jpg <br> https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh-hL3kBjaqKlPVZU754JQHtON6eX42Qvnvc_uqVmtdmsspIyWMR3QEEI01NPtB1ebSKnzJJXNC5sn_mKMigEK8bV5ly1bv9IjMM2_Rqu2F1GslXGF7kWIabDr9qbvV5qqS6KS6UNq3ZjPd/s640/23843657_713184812212247_5052837412752905705_n.jpg <br> https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh8cGT0sBUgAwqZctkD3LVTxki9K8Jp8u-O008magPZowwflI6nHuHi-22b_QLjwltNVZI6WjCQhUEaWgj2hT_w_mmRtjyG1dlfYU4UCWjf-Rkv4hxdf8I8zIHfdj64RYcETtXAF9_p_UN_/s640/23795095_713184758878919_5010877521355822646_n.jpg <br> https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj10M1WFB6uyGDXhERj0yVuVFYWIg7fb5V5xWpnVgpBt3a47vZrx_n12LvTU0rz3N1_sxjJadkqEsr6pbLf3kwAN0L9mNcmpFGQCLDUdJsr2sYffEJeZn3tu4mNtCruF39hJx7DWZWNlaGi/s640/23794985_713184745545587_2160035749867069100_n.jpg,,عمان / جبل عمان / الدوار الثاني / مقابل السفارة التركية,,07:00 صباحًا إلى 05:30 مساءً، الإجازة الأسبوعية: الجمعة,منتسوري
حضانة الخطوة الاولى FirstStep nursery,775931022,غير متوفر,غير متوفر,FirstStepKgInJordan,غير متوفر,عمان,عمان,جبل عمان / الدوار الخامس,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiUchpJxB-mNieX3BS4peuw-o35YyuiJODaLfUvtdjbeD8e8xiZVna_Km7CsfvtkbBNTn9cDRXI9Nl4OZbaB4J0mjZzjbUqBcMf0SExZDhbk89Vtrc6OKSkUm-9xVrt4WezdLpyjBlHluKP/s320/38955122_1891812890880123_1933690337897742336_n.jpg,,عمان / جبل عمان / الدوار الخامس,,07:00 صباحًا إلى 05:00 مساءً، الإجازة الأسبوعية: الجمعة,لغات
هنا لنكبر,797293317,غير متوفر,heretogrownursery@gmail.com,هنا لنكبر,غير متوفر,عمان,عمان,الدوار السابع,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhjwda4S6ZYBpl73OmyxozMtxPfVwln86N2KzW0nQ60I2IYBogXlj7Nl9VscleW8I9AohWIJDxAWSHk7IK_kx81J3bnSs3OcBnVq006AWsuWraGgZZ86pdTSFhnU3XCtrv1B2aMdRv2P2Y/s640/19466680_1593288514077997_8428652001472586743_o.jpg <br> https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgxeXuZN4K_Uz2IJlGmRJ_5aF-8GNPmJrBK9vFN43bUemMWAY8XqiNZZQyMTTLBtGpzjHABCKyNQdFeC5VclKBC2mJ-QUTj2ApjAEBH_ntoPYvgNkpQd8hKQR9AAb62Lhh7a6Z4a7Xq0dI/s640/69836840_3008851545855013_46220926211063808_o.jpg <br> https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEio4oEDCGip7T6-0NcH1Hk4jrkefW8obHOy4W8aVxFqQKwQ51bH2T65WiRpN9x67FpqHBWIJD8A9RYbP38BW5ffr0hzeBrM9VZa-Lwczci8LQ2xdyv_YfTvoZistOXM2s2mfQ2i_rmfJJE/s640/80599602_3380211035385727_5456328162235383808_o.jpg <br> https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiC19K40ZSE-x7qaoGnOvSvERizBBoDoQU7UXRHvu-dYqJWJ8PTFvN59layS4kEQUSaixqfYlbOTd8ZMmtCjp6OuteipSb-_ys8_XoUZRG8Jc1vGjgUg8KIucH5VyDM8zqv1sJYuqetiEk/s640/80627231_3380360658704098_2478289541035720704_n.jpg,,عمان / الدوار السابع / شارع التباشير الرئيسي بجانب السفارة السيرلانكية، عمارة رقم 2,,07:30 صباحًا إلى 05:30 مساءً، الإجازة الأسبوعية: الجمعة,غير متوفر
حضانة السندريلا,799361618,0795125979,غير متوفر,رسوم: 100 دينار (حتى 4 م)، 125 دينار (حتى 5 م). الدوام: 07:30 صباحًا إلى 04:00 مساءً، الإجازة: الجمعة والسبت.,100 دينار (حتى 4 م)<br>125 دينار (حتى 5 م),عمان,عمان,الدوار السابع,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjDvod5EvAt-iryk3l_-uEkg5N6t5CoJztdW-ceTgG6cpSTrtIl0VmH8oa6vtPkX6vY5tvfosmJYhv7bK-A4uCfh4Vv7HKP1de4YLDh3AivZNCKWy5alQAAD_AneCKnqa_xvIQQchdJperG/s320/46387798_966922216851167_8195821061409865728_n.jpg,,عمان / الدوار السابع / خلف السيفوي / مقابل مياهنا,,07:30 صباحًا إلى 04:00 مساءً، الإجازة الأسبوعية: الجمعة والسبت,غير متوفر
حضانة وروضه نكبر ونتعلم معا Grow and learn together preschool,786955385,غير متوفر,غير متوفر,royalpreschool,غير متوفر,عمان,عمان,الدوار السابع,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEibLJ6IyOs4yqYaTPZKe7qRD6fDQBVLZIiRHFe1DAmSqgTxIJDYbrmJpVGjIhyphenhyphenvuLnYDhcfoaemRkmGDJShe-aMoA3PWz4ZS3t5hTIbcS36cuYxt-Tfz5CVFF1qefJPXMlD3IFXjjOtdGoK/s640/10685361_349076621939094_8414747533951132989_n.jpg,,عمان / الدوار السابع / خلف محطة البرج / بجانب جمعية أمان الاردنية,,07:00 صباحًا إلى 05:00 مساءً، الإجازة الأسبوعية: الجمعة,غير متوفر
حضانة و روضة روابي السابع الدولية,798998374,غير متوفر,seventhrawabi17@gmail.com,حضانة و روضة روابي السابع الدولية,غير متوفر,عمان,عمان,الدوار السابع,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjQogTyxFXpH_brjPFJ_QFnq0HkRM-Yn4JcHTsQQYNW0zfRtpBHbc_F5qLeFITSSlRokoz8mxCB3ZrXegy-3U0D_V5c4JVysM57gq03jmEsaLvBRsDhNZUC-D_9pQQ3FIufjQIhdikRvS7s/s320/20914229_111143312898606_7492091912534308093_n.png,,عمان / الدوار السابع / خلف مجمع جبر / حي الروابي / شارع البيرق / فيلا21,,07:00 صباحًا إلى 05:00 مساءً، الإجازة الأسبوعية: الجمعة,دولي - لغات
حضانة الوجوه السعيدة Happy Faces Nursery and Preschool,797954268,غير متوفر,areej_musmar@hotmail.com,حضانة الوجوه السعيدة Happy Faces Nursery and Preschool,غير متوفر,عمان,عمان,الدوار السابع,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhIkpWG6vdaoMLy_dxJBITqnigAxsAqfOH2gnYIP3dqUet-OXWilKyNaM06Y6s1NUFXzjfF2yRtKf_V-fKNjGb9Pqpmx19CUXDPmifhoQvwFKjopWRneNfyq7I3ScsS2p2L5TlYR6fGpgzt/s320/60333578_2356000437945130_6950226347377557504_n.jpg,,عمان / الدوار السابع / شارع سويبط بن حرمله المتفرع من شارع عبد الله غوشة / فيلا رقم 29,,07:30 صباحًا إلى 05:30 مساءً، الإجازة الأسبوعية: الجمعة,غير متوفر
حضانة نيفين Neveen Kids,795486050,غير متوفر,غير متوفر,حضانة نيفين,غير متوفر,عمان,عمان,الدوار السابع,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjWlsQ95sQNW7aQ5PPBaDhkgx1QTDk_Pk7etY61jlrEhRb0waQZbi_zvxrXz9OlVo65ncBcpn28PLLan1hkDEt2-X3uCFGAEBkU5PVuCbLcBbiQMgtVUtMd85YmC7HeSiVDneWUQyw7x7il/s640/19248044_1766192547005739_1257735031322665716_n.jpg,,عمان / الدوار السابع / خلف نادي المعلمين / بجانب جمعية خليل الرحمن / شارع كريم الزيود,,07:00 صباحًا إلى 07:00 مساءً، الإجازة الأسبوعية: الجمعة,منتسوري
حضانة البالون,799816270,غير متوفر,غير متوفر,حضانة البالون,غير متوفر,عمان,عمان,الدوار السابع,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhOE9gHtHutpNMp3b0Qbui2eEggAG4o7tchbaeCphWRqo5AEMRCAoSDNCgYChOo0m-_623BqvLXYMeq5B8zeoVEvRaJ_JYlY9kHrUqo_fMg0rWr3ouXEadNoHQCateCmbF4gnBLx_kSM2ll/s320/11401353_716495495129144_8928455851463105313_n.jpg,,عمان / الدوار السابع / شارع غبدالله غوشه / مبنى 32,,07:00 صباحًا إلى 05:00 مساءً، الإجازة الأسبوعية: الجمعة,لغات
شمس العز,0798051208,,sanaawaleedghanem@gmail.com,العمر: من يوم إلى 5 سنوات. اللغات: الإنجليزية والعربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,تلاع العلي,,,تلاع العلي، شارع عارف النجار، فيلا رقم 5.,حضانة شمس العز,07:00 صباحاً إلى 07:00 مساءً,منتسوري - لغات
بنان Banan Daycare,0796975012,,Banandaycare@gmail.com,العمر: من 6 أشهر إلى 4 سنوات. اللغات: الإنجليزية والعربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,تلاع العلي,,,تلاع العلي، ثاني يمين بعد دائرة قاضي القضاة، ثاني عمارة.,حضانة بنان,06:45 صباحاً إلى 05:30 مساءً,لغات
Tamara Kids Nursery,0775136924,,tamara.jameel@yahoo.com,العمر: من شهر إلى 5 سنوات. اللغات: الإنجليزية والعربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,تلاع العلي,,,تلاع العلي، سوق السلطان، خلف الضمان الاجتماعي.,Tamara Kids Nursery,07:00 صباحاً إلى 04:30 مساءً,منتسوري - لغات
جبل التاج النموذجية,0798901946,,jabalaltjnursery@gmail.com,العمر: من يوم وحتى 4 سنوات. اللغات: عربي وإنجليزي. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,جبل التاج,,,جبل التاج، شارع الشهيد، ممر رقم 3، بجانب مدرسة المحبة، عمارة رقم 5.,حضانة جبل التاج النموذجية,07:00 صباحاً إلى 04:30 مساءً,غير متوفر
حضانة كرة العسل - HoneyBall Nursery,0789939313,,alkhteebsuad27@gmail.com,نظام تعليمي منتسوري. تقبل الأطفال من شهر حتى 4 سنوات و8 أشهر. تتوفر اللغة العربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,جبل الحسين,,,جبل الحسين، مقابل مخابز غيث.,حضانة كرة العسل - HoneyBall Nursery,07:00 صباحًا إلى 05:00 مساءً,منتسوري
حضانة شجرة الكرز Cherry tree nursery,0796884462,,غير متوفر,تقبل الأطفال من 3 شهور إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,جبل الحسين,,,جبل الحسين.,Cherry-tree-nursery,07:00 صباحًا إلى 05:00 مساءً,غير متوفر
حضانة ميشيل للاطفال Micheal Preschool,064611590,789999153,غير متوفر,تقبل الأطفال من شهرين إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,جبل الحسين,,,جبل الحسين، شارع اسماعيل بابوق، عمارة رقم 5، قرب دوار المأمونية.,Micheal Preschool,07:30 صباحًا إلى 04:30 مساءً,غير متوفر
حضانة الشاطر حسن,0799632828,,غير متوفر,تقبل الأطفال من شهرين إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,جبل الحسين,,,جبل الحسين، مقابل رنوش، دخلة مطعم الفارس بعد أول تقاطع.,حضانة الشاطر حسن,07:00 صباحًا إلى 06:00 مساءً,غير متوفر
حضانة نور الهناء,0797906792,,غير متوفر,تقبل الأطفال من 40 يومًا إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,جبل النزهه,,,جبل النزهه، خلف مدرسة النزهه الثانويه.,نور الهناء,07:00 صباحًا إلى 05:00 مساءً,غير متوفر
حضانة نور (حضانة هنا ),0797906792,,غير متوفر,نظام تعليمي منتسوري ودولي. تقبل الأطفال من 40 يومًا إلى 4 سنوات. تتوفر اللغتان الإنجليزية والعربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,جبل النزهه,,,جبل النزهه، مقابل حديقة الرايه.,حضانة نور (حضانة هنا ),07:00 صباحًا إلى 05:00 مساءً,منتسوري، دولي - لغات
حضانة اليوم السعيد Happy Day,0799622443,,roua39am@yahoo.com,تقبل الأطفال من 70 يومًا إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,جبل النزهة,,,جبل النزهة، دوار النزهه، شارع الكويتية.,happyday,06:30 صباحًا إلى 05:00 مساءً,غير متوفر
حضانة جمعية سيدات النصر/ماركا,064906853,,Dalal_2ta@yahoo.com,حضانة وطنية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,جبل النصر,,,جبل النصر، مقابل مركز أمن النصر، حديقة محمود القضاة.,غير متوفر,غير متوفر,وطني
حضانة هورايزن Horizon Nursery,0779805000,,info@horizon-nursery.com,حضانة لغات تابعة لمديرية التنمية الاجتماعية/غرب عمان. تتوفر اللغتان الإنجليزية والعربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,حي الروابي,,,حي الروابي، خلف شركة زين ومستشفى فيلادلفيا، شارع البراء بن عازب المتفرع من شارع ابراهيم القطّان، بالقرب من music box.,http://www.horizon-nursery.com,07:30 صباحًا إلى 05:00 مساءً,لغات
Rose garden,0798643181,,غير متوفر,نظام تعليمي منتسوري. يتقبل الأطفال من 70 يومًا حتى 4 سنوات و8 أشهر. تتوفر اللغتان الإنجليزية والعربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,خلدا,,,خلدا، شارع خارحه بن زيد.,Rose garden,07:00 صباحًا إلى 05:30 مساءً,منتسوري
حضانة جنتي الصغيرة - Janaty Nursery & Preschool,0796307495,,janatynursery@yahoo.com,نظام تعليمي منتسوري. يتقبل الأطفال من 70 يومًا حتى 4 سنوات. تتوفر اللغتان العربية والإنجليزية. الإجازة الأسبوعية: الجمعة والسبت.,غير متوفر,عمان,,خلدا,,,خلدا، شارع قطب الدين الصفوي، عمارة 4 ب، بعد إشارة البنك العربي باتجاه دوار خلدا، خلف البنك الأهلي.,حضانة جنتي الصغيرة - Janaty Nursery & Preschool,07:15 صباحًا إلى 04:30 مساءً,منتسوري
Rose Mary Model Kindergarten,0791507878,,rosemarymodelkindergarten@gmail.com,حضانة دولية. تقبل الأطفال من سنتين ونصف إلى 5 سنوات. تتوفر اللغتان العربية والإنجليزية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,خلدا,,,خلدا، إشارات البنك العربي، خلف إيفر هوم.,Rose Mary Model Kindergarten حضانة روز وماري النموذجية,07:00 صباحًا إلى 05:00 مساءً,دولي
حضانة سيسو النموذجية Seeso Model Nursery,065522949,797686162,seesonursery@gmail.com,حضانة لغات بنظامي المنتسوري والتعليم باللعب. تتوفر اللغات العربية والإنجليزية والفرنسية. تقبل الأطفال من 3 شهور إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,خلدا,,,خلدا، دوار السكر، شارع ابن خزيمة.,حضانة سيسو النموذجية Seeso Model Nursery,07:30 صباحًا إلى 05:30 مساءً,لغات، منتسوري
حضانة أرض الحلوى Candy Land Nursery,0799217630,,saba.aldamrawi@gmail.com,تقبل الأطفال من 3 شهور إلى 4 سنوات ونصف. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,خلدا,,,خلدا، دوار المعارف على الشمال، شارع الوصفية.,حضانة أرض الحلوى,07:30 صباحًا إلى 06:30 مساءً,غير متوفر
